"num1","num2","dec1","unit1","dec2","unit2","unit_dist","dec_dist","total_dist","ranks","dist","comp","incomp","wd","matched_group","matching_strategy","numA_is_num1","decA","decB","unitA","unitB","dA_eq_dB","dA_lt_uA","dA_lt_uB","uA_lt_dB","uA_lt_uB","dB_lt_uB"
68,75,6,8,7,5,3,1,7,"2_4_3_1","1_3",0,1,0,"matched_digit_order","unit&total_dist",0,7,6,5,8,0,0,1,1,1,1
69,85,6,9,8,5,4,2,16,"2_4_3_1","2_4",0,1,0,"matched_digit_order","unit&total_dist",0,8,6,5,9,0,0,1,1,1,1
47,63,4,7,6,3,4,2,16,"2_4_3_1","2_4",0,1,0,"matched_digit_order","unit&total_dist",0,6,4,3,7,0,0,1,1,1,1
46,53,4,6,5,3,3,1,7,"2_4_3_1","1_3",0,1,0,"matched_digit_order","unit&total_dist",0,5,4,3,6,0,0,1,1,1,1
24,31,2,4,3,1,3,1,7,"2_4_3_1","1_3",0,1,0,"matched_digit_order","unit&total_dist",0,3,2,1,4,0,0,1,1,1,1
36,52,3,6,5,2,4,2,16,"2_4_3_1","2_4",0,1,0,"matched_digit_order","unit&total_dist",0,5,3,2,6,0,0,1,1,1,1
25,41,2,5,4,1,4,2,16,"2_4_3_1","2_4",0,1,0,"matched_digit_order","unit&total_dist",0,4,2,1,5,0,0,1,1,1,1
58,74,5,8,7,4,4,2,16,"2_4_3_1","2_4",0,1,0,"matched_digit_order","unit&total_dist",0,7,5,4,8,0,0,1,1,1,1
49,67,4,9,6,7,2,2,18,"1_4_2_3","2_2",0,1,0,"matched_digit_order","unit&total_dist",0,6,4,7,9,0,1,1,0,1,1
39,57,3,9,5,7,2,2,18,"1_4_2_3","2_2",0,1,0,"matched_digit_order","unit&total_dist",0,5,3,7,9,0,1,1,0,1,1
29,57,2,9,5,7,2,3,28,"1_4_2_3","3_2",0,1,0,"matched_digit_order","unit&total_dist",0,5,2,7,9,0,1,1,0,1,1
38,56,3,8,5,6,2,2,18,"1_4_2_3","2_2",0,1,0,"matched_digit_order","unit&total_dist",0,5,3,6,8,0,1,1,0,1,1
28,56,2,8,5,6,2,3,28,"1_4_2_3","3_2",0,1,0,"matched_digit_order","unit&total_dist",0,5,2,6,8,0,1,1,0,1,1
39,67,3,9,6,7,2,3,28,"1_4_2_3","3_2",0,1,0,"matched_digit_order","unit&total_dist",0,6,3,7,9,0,1,1,0,1,1
29,56,2,9,5,6,3,3,27,"1_4_2_3","3_3",0,1,0,"matched_digit_order","unit&total_dist",0,5,2,6,9,0,1,1,0,1,1
29,67,2,9,6,7,2,4,38,"1_4_2_3","4_2",0,1,0,"matched_digit_order","unit&total_dist",0,6,2,7,9,0,1,1,0,1,1
27,69,2,7,6,9,2,4,42,"1_3_2_4","4_2",1,0,0,"matched_digit_order","unit&total_dist",0,6,2,9,7,0,1,1,0,0,1
25,47,2,5,4,7,2,2,22,"1_3_2_4","2_2",1,0,0,"matched_digit_order","unit&total_dist",0,4,2,7,5,0,1,1,0,0,1
37,69,3,7,6,9,2,3,32,"1_3_2_4","3_2",1,0,0,"matched_digit_order","unit&total_dist",0,6,3,9,7,0,1,1,0,0,1
37,59,3,7,5,9,2,2,22,"1_3_2_4","2_2",1,0,0,"matched_digit_order","unit&total_dist",0,5,3,9,7,0,1,1,0,0,1
27,59,2,7,5,9,2,3,32,"1_3_2_4","3_2",1,0,0,"matched_digit_order","unit&total_dist",0,5,2,9,7,0,1,1,0,0,1
26,58,2,6,5,8,2,3,32,"1_3_2_4","3_2",1,0,0,"matched_digit_order","unit&total_dist",0,5,2,8,6,0,1,1,0,0,1
26,48,2,6,4,8,2,2,22,"1_3_2_4","2_2",1,0,0,"matched_digit_order","unit&total_dist",0,4,2,8,6,0,1,1,0,0,1
26,59,2,6,5,9,3,3,33,"1_3_2_4","3_3",1,0,0,"matched_digit_order","unit&total_dist",0,5,2,9,6,0,1,1,0,0,1
34,52,3,4,5,2,2,2,18,"2_3_4_1","2_2",0,1,0,"matched_digit_order","unit&total_dist",0,5,3,2,4,0,0,0,1,1,1
23,61,2,3,6,1,2,4,38,"2_3_4_1","4_2",0,1,0,"matched_digit_order","unit&total_dist",0,6,2,1,3,0,0,0,1,1,1
56,72,5,6,7,2,4,2,16,"2_3_4_1","2_4",0,1,0,"matched_digit_order","unit&total_dist",0,7,5,2,6,0,0,0,1,1,1
58,94,5,8,9,4,4,4,36,"2_3_4_1","4_4",0,1,0,"matched_digit_order","unit&total_dist",0,9,5,4,8,0,0,0,1,1,1
24,71,2,4,7,1,3,5,47,"2_3_4_1","5_3",0,1,0,"matched_digit_order","unit&total_dist",0,7,2,1,4,0,0,0,1,1,1
78,95,7,8,9,5,3,2,17,"2_3_4_1","2_3",0,1,0,"matched_digit_order","unit&total_dist",0,9,7,5,8,0,0,0,1,1,1
45,72,4,5,7,2,3,3,27,"2_3_4_1","3_3",0,1,0,"matched_digit_order","unit&total_dist",0,7,4,2,5,0,0,0,1,1,1
24,61,2,4,6,1,3,4,37,"2_3_4_1","4_3",0,1,0,"matched_digit_order","unit&total_dist",0,6,2,1,4,0,0,0,1,1,1
39,65,3,9,6,5,4,3,26,"1_4_3_2","3_4",0,1,0,"matched_digit_order","unit&total_dist",0,6,3,5,9,0,0,1,0,1,1
69,87,6,9,8,7,2,2,18,"1_4_3_2","2_2",0,1,0,"matched_digit_order","unit&total_dist",0,8,6,7,9,0,0,1,0,1,1
38,74,3,8,7,4,4,4,36,"1_4_3_2","4_4",0,1,0,"matched_digit_order","unit&total_dist",0,7,3,4,8,0,0,1,0,1,1
59,76,5,9,7,6,3,2,17,"1_4_3_2","2_3",0,1,0,"matched_digit_order","unit&total_dist",0,7,5,6,9,0,0,1,0,1,1
28,65,2,8,6,5,3,4,37,"1_4_3_2","4_3",0,1,0,"matched_digit_order","unit&total_dist",0,6,2,5,8,0,0,1,0,1,1
